the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E6100000D16541934AD052C05C8793C9E3FC4340,0101000020110F0000BA341498F4F45FC12B83CAFA728C5241,332205,2018.0,201819071190,0411,2018-08-30,17:10:00,B,M,19,chest,N,N,N,900 BLOCK Flanders Rd,0,-75.25455171,39.97570152,19,0,1,0,39.97570152,-75.25455171
0101000020E6100000D16541934AD052C05C8793C9E3FC4340,0101000020110F0000BA341498F4F45FC12B83CAFA728C5241,332206,2018.0,201819071199,0411,2018-08-30,17:10:00,B,M,21,multi,N,N,N,900 BLOCK Flanders Rd,0,-75.25455171,39.97570152,19,0,1,0,39.97570152,-75.25455171
0101000020E61000005C65F9FCA8C952C09F856F27B2024440,0101000020110F00006DC35712B1E95FC1A05D90D9E2925241,332207,2018.0,201839056000,0411,2018-08-10,22:09:00,B,M,34,back,N,N,N,1500 BLOCK BLAVIS ST,0,-75.15093922,40.02106183,39,0,1,0,40.02106183,-75.15093922
0101000020E610000015B22DE2FFCC52C04CFEA346D3FB4340,0101000020110F0000198088325DEF5FC15C7708FA448B5241,332208,2018.0,201816035756,0411,2018-08-11,23:24:00,B,M,20,arm,N,N,N,4000 BLOCK BROWN ST,0,-75.20311789,39.96738513,16,0,1,0,39.96738513,-75.20311789
0101000020E61000001E999A468BCB52C01FE7892909074440,0101000020110F0000A8972349E4EC5FC1BE32C24AB3975241,332209,2018.0,201814068368,0411,2018-08-12,21:02:00,B,F,31,back,N,N,N,6600 BLOCK CHEW AVE,0,-75.18037572,40.05496711,14,0,1,0,40.05496711,-75.18037572
0101000020E61000000ED27C6342C852C0C2C77962CAFE4340,0101000020110F000085AA47F44FE75FC147AE13548E8E5241,332210,2018.0,201826034487,0411,2018-08-12,17:35:00,W,M,19,multi,N,N,N,100 BLOCK E LEHIGH AVE,1,-75.12905204,39.99055129,26,0,1,0,39.99055129,-75.12905204
0101000020E610000021D3F3D196C852C0639FBE6DBF064440,0101000020110F000085A09F5EDFE75FC12B55F77A61975241,332211,2018.0,201835068378,0411,2018-08-12,21:10:00,B,M,20,chest,N,N,N,1000 BLOCK 66TH AVE,0,-75.13420533,40.05271695,35,0,1,0,40.05271694,-75.13420533
0101000020E610000021D3F3D196C852C0639FBE6DBF064440,0101000020110F000085A09F5EDFE75FC12B55F77A61975241,332212,2018.0,201835068379,0411,2018-08-12,21:10:00,B,M,19,arm,N,N,N,1000 BLOCK 66TH AVE,0,-75.13420533,40.05271695,35,0,1,0,40.05271694,-75.13420533
0101000020E610000021D3F3D196C852C0639FBE6DBF064440,0101000020110F000085A09F5EDFE75FC12B55F77A61975241,332213,2018.0,201835068383,0411,2018-08-12,21:10:00,B,M,19,leg,N,N,N,1000 BLOCK 66TH AVE,0,-75.13420533,40.05271695,35,0,1,0,40.05271694,-75.13420533
0101000020E6100000CA439550B0C952C03FA1A6AF4A004440,0101000020110F0000F4D24084BDE95FC1DED8DE5F38905241,332214,2018.0,201825063408,0411,2018-08-13,22:01:00,B,M,23,head,N,N,N,3200 BLOCK N PARK AV,0,-75.1513864,40.00227924,25,0,1,0,40.00227924,-75.1513864
